"ProteinIDs"	"ProteinNames"	"GeneNames"	"GeneNamesUnique"
"ALDH6A1"	"Q02252-2;Q02252"	"Methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial"	"ALDH6A1"	"ALDH6A1"
"ALDH7A1"	"P49419-2;P49419;P49419-4;P49419-3"	"Alpha-aminoadipic semialdehyde dehydrogenase"	"ALDH7A1"	"ALDH7A1"
"ALDH9A1"	"P49189;P49189-2"	"4-trimethylaminobutyraldehyde dehydrogenase"	"ALDH9A1"	"ALDH9A1"
"ALDOA"	"P04075;P04075-2"	"Fructose-bisphosphate aldolase A"	"ALDOA"	"ALDOA"
"ALDOC"	"P09972"	"Fructose-bisphosphate aldolase C"	"ALDOC"	"ALDOC"
"ALG1"	"Q9BT22;Q9BT22-2;Q6GMV1"	"Chitobiosyldiphosphodolichol beta-mannosyltransferase"	"ALG1"	"ALG1"
"ALG11"	"Q2TAA5"	"GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase"	"ALG11"	"ALG11"
"ALG12"	"Q9BV10"	"Dol-P-Man:Man(7)GlcNAc(2)-PP-Dol alpha-1,6-mannosyltransferase"	"ALG12"	"ALG12"
"ALG13"	"Q9NP73-2"	"Putative bifunctional UDP-N-acetylglucosamine transferase and deubiquitinase ALG13"	"ALG13"	"ALG13"
"ALG2"	"Q9H553;Q9H553-2"	"Alpha-1,3/1,6-mannosyltransferase ALG2"	"ALG2"	"ALG2"
"ALG5"	"Q9Y673-2;Q9Y673"	"Dolichyl-phosphate beta-glucosyltransferase"	"ALG5"	"ALG5"
"ALG6"	"Q9Y672"	"Dolichyl pyrophosphate Man9GlcNAc2 alpha-1,3-glucosyltransferase"	"ALG6"	"ALG6"
"ALG9"	"Q9H6U8;Q9H6U8-3;Q9H6U8-2;Q9H6U8-4"	"Alpha-1,2-mannosyltransferase ALG9"	"ALG9"	"ALG9"
"ALKBH4"	"Q9NXW9;Q9NXW9-2"	"Alpha-ketoglutarate-dependent dioxygenase alkB homolog 4"	"ALKBH4"	"ALKBH4"
"ALKBH5"	"Q6P6C2;Q6P6C2-1;Q6P6C2-3"	"RNA demethylase ALKBH5"	"ALKBH5"	"ALKBH5"
"ALKBH7"	"Q9BT30"	"Alpha-ketoglutarate-dependent dioxygenase alkB homolog 7, mitochondrial"	"ALKBH7"	"ALKBH7"
"ALMS1"	"Q8TCU4-3;Q8TCU4-2;Q8TCU4"	"Alstrom syndrome protein 1"	"ALMS1"	"ALMS1"
"ALOX15"	"P16050-2;P16050"	"Arachidonate 15-lipoxygenase"	"ALOX15"	"ALOX15"
"ALOX15B"	"O15296;O15296-4;O15296-3;O15296-2"	"Arachidonate 15-lipoxygenase B"	"ALOX15B"	"ALOX15B"
"ALOX5"	"P09917;P09917-2;P09917-5;P09917-3"	"Arachidonate 5-lipoxygenase"	"ALOX5"	"ALOX5"
"ALPL"	"P05186;P05186-3;P05186-2"	"Alkaline phosphatase, tissue-nonspecific isozyme"	"ALPL"	"ALPL"
"ALYREF"	"Q86V81"	"THO complex subunit 4"	"ALYREF"	"ALYREF"
"AMDHD2"	"Q9Y303;Q9Y303-2;Q9Y303-3"	"Putative N-acetylglucosamine-6-phosphate deacetylase"	"AMDHD2"	"AMDHD2"
"AMFR"	"Q9UKV5"	"E3 ubiquitin-protein ligase AMFR"	"AMFR"	"AMFR"
"AMPD2"	"Q01433-2;Q01433;Q01433-5;Q01433-3;Q01433-4"	"AMP deaminase 2"	"AMPD2"	"AMPD2"
"AMPH"	"P49418-2;P49418"	"Amphiphysin"	"AMPH"	"AMPH"
"AMT"	"P48728-3;P48728-4;P48728;P48728-2"	"Aminomethyltransferase, mitochondrial"	"AMT"	"AMT"
"ANAPC1"	"Q9H1A4"	"Anaphase-promoting complex subunit 1"	"ANAPC1"	"ANAPC1"
"ANAPC2"	"Q9UJX6-2;Q9UJX6"	"Anaphase-promoting complex subunit 2"	"ANAPC2"	"ANAPC2"
"ANAPC5"	"Q9UJX4;Q9UJX4-2;Q9UJX4-3"	"Anaphase-promoting complex subunit 5"	"ANAPC5"	"ANAPC5"
"ANAPC7"	"Q9UJX3-2;Q9UJX3"	"Anaphase-promoting complex subunit 7"	"ANAPC7"	"ANAPC7"
"ANGEL2"	"Q5VTE6-2;Q5VTE6"	"Protein angel homolog 2"	"ANGEL2"	"ANGEL2"
"ANK3"	"Q12955-5;Q12955-4;Q12955-6"	"Ankyrin-3"	"ANK3"	"ANK3"
"ANKFY1"	"Q9P2R3;Q9P2R3-2;Q9P2R3-4"	"Rabankyrin-5"	"ANKFY1"	"ANKFY1"
"ANKHD1"	"Q8IWZ3;Q8IWZ3-4;Q8IWZ3-6;Q8IWZ3-5;Q8IWZ3-2;Q8IWZ3-3"	"Ankyrin repeat and KH domain-containing protein 1"	"ANKHD1"	"ANKHD1"
"ANKIB1"	"Q9P2G1"	"Ankyrin repeat and IBR domain-containing protein 1"	"ANKIB1"	"ANKIB1"
"ANKLE2"	"Q86XL3;Q86XL3-2;Q86XL3-3"	"Ankyrin repeat and LEM domain-containing protein 2"	"ANKLE2"	"ANKLE2"
"ANKMY2"	"Q8IV38"	"Ankyrin repeat and MYND domain-containing protein 2"	"ANKMY2"	"ANKMY2"
"ANKRD13A"	"Q8IZ07;Q6ZTN6-2;Q6ZTN6;Q6ZTN6-3"	"Ankyrin repeat domain-containing protein 13A"	"ANKRD13A"	"ANKRD13A"
"ANKRD17"	"O75179-6;O75179-2;O75179;O75179-7;O75179-4;O75179-3;O75179-5"	"Ankyrin repeat domain-containing protein 17"	"ANKRD17"	"ANKRD17"
"ANKRD28"	"O15084;O15084-4;O15084-1;O15084-2;Q8N8A2-5;Q8N8A2-3;Q8N8A2-4;Q8N8A2;Q8N8A2-2"	"Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A"	"ANKRD28"	"ANKRD28"
"ANKS1A"	"Q92625;Q92625-2"	"Ankyrin repeat and SAM domain-containing protein 1A"	"ANKS1A"	"ANKS1A"
"ANKUB1"	"A6NFN9;A6NFN9-2"	"Protein ANKUB1"	"ANKUB1"	"ANKUB1"
"ANKZF1"	"Q9H8Y5"	"Ankyrin repeat and zinc finger domain-containing protein 1"	"ANKZF1"	"ANKZF1"
"ANO1"	"Q5XXA6;Q5XXA6-2;Q5XXA6-3"	"Anoctamin-1"	"ANO1"	"ANO1"
"ANO10"	"Q9NW15-2;Q9NW15;Q9NW15-5;Q9NW15-4;Q9NW15-3"	"Anoctamin-10"	"ANO10"	"ANO10"
"ANO6"	"Q4KMQ2-3;Q4KMQ2;Q4KMQ2-2;Q4KMQ2-4"	"Anoctamin-6"	"ANO6"	"ANO6"
"ANP32A"	"P39687;O95626;O43423"	"Acidic leucine-rich nuclear phosphoprotein 32 family member A"	"ANP32A"	"ANP32A"
"ANP32B"	"Q92688-2;Q92688"	"Acidic leucine-rich nuclear phosphoprotein 32 family member B"	"ANP32B"	"ANP32B"
"ANP32E"	"Q9BTT0-3;Q9BTT0;Q9BTT0-2"	"Acidic leucine-rich nuclear phosphoprotein 32 family member E"	"ANP32E"	"ANP32E"
"ANPEP"	"P15144"	"Aminopeptidase N"	"ANPEP"	"ANPEP"
"ANTXR1"	"Q9H6X2-5;Q9H6X2;Q9H6X2-3;Q9H6X2-4;Q9H6X2-6;Q9H6X2-2"	"Anthrax toxin receptor 1"	"ANTXR1"	"ANTXR1"
"ANXA1"	"P04083"	"Annexin A1"	"ANXA1"	"ANXA1"
"ANXA11"	"P50995-2;P50995;P27216;P27216-2"	"Annexin A11"	"ANXA11"	"ANXA11"
"ANXA2;ANXA2P2"	"P07355;P07355-2;A6NMY6"	"Annexin A2;Putative annexin A2-like protein"	"ANXA2;ANXA2P2"	"ANXA2;ANXA2P2"
"ANXA3"	"P12429"	"Annexin A3"	"ANXA3"	"ANXA3"
"ANXA4"	"P09525"	"Annexin A4"	"ANXA4"	"ANXA4"
"ANXA5"	"P08758"	"Annexin A5"	"ANXA5"	"ANXA5"
"ANXA6"	"P08133;P08133-2"	"Annexin A6"	"ANXA6"	"ANXA6"
"ANXA7"	"P20073-2;P20073"	"Annexin A7"	"ANXA7"	"ANXA7"
"ANXA8L2"	"Q5VT79;Q5VT79-2"	"Annexin A8-like protein 2"	"ANXA8L2"	"ANXA8L2"
"ANXA9"	"O76027"	"Annexin A9"	"ANXA9"	"ANXA9"
"AOC3"	"Q16853;Q16853-2;Q16853-3"	"Membrane primary amine oxidase"	"AOC3"	"AOC3"
"AP1B1"	"Q10567-3;Q10567-2;Q10567;Q10567-4"	"AP-1 complex subunit beta-1"	"AP1B1"	"AP1B1"
"AP1G1"	"O43747;O43747-2"	"AP-1 complex subunit gamma-1"	"AP1G1"	"AP1G1"
"AP1G2"	"O75843"	"AP-1 complex subunit gamma-like 2"	"AP1G2"	"AP1G2"
"AP1M1"	"Q9BXS5;Q9BXS5-2"	"AP-1 complex subunit mu-1"	"AP1M1"	"AP1M1"
"AP1M2"	"Q9Y6Q5;Q9Y6Q5-2"	"AP-1 complex subunit mu-2"	"AP1M2"	"AP1M2"
"AP1S1"	"P61966;P61966-2"	"AP-1 complex subunit sigma-1A"	"AP1S1"	"AP1S1"
"AP2A1"	"O95782-2;O95782"	"AP-2 complex subunit alpha-1"	"AP2A1"	"AP2A1"
"AP2A2"	"O94973"	"AP-2 complex subunit alpha-2"	"AP2A2"	"AP2A2"
"AP2B1"	"P63010;P63010-2;P63010-3"	"AP-2 complex subunit beta"	"AP2B1"	"AP2B1"
"AP2M1"	"Q96CW1-2;Q96CW1"	"AP-2 complex subunit mu"	"AP2M1"	"AP2M1"
"AP2S1"	"P53680-2;P53680"	"AP-2 complex subunit sigma"	"AP2S1"	"AP2S1"
"AP3B1"	"O00203-3;O00203;Q13367-4"	"AP-3 complex subunit beta-1"	"AP3B1"	"AP3B1"
"AP3D1"	"O14617-5;O14617;O14617-4"	"AP-3 complex subunit delta-1"	"AP3D1"	"AP3D1"
"AP3M1"	"Q9Y2T2"	"AP-3 complex subunit mu-1"	"AP3M1"	"AP3M1"
"AP3S1"	"Q92572"	"AP-3 complex subunit sigma-1"	"AP3S1"	"AP3S1"
"AP5B1"	"Q2VPB7"	"AP-5 complex subunit beta-1"	"AP5B1"	"AP5B1"
"AP5Z1"	"O43299;O43299-2;O43299-3"	"AP-5 complex subunit zeta-1"	"AP5Z1"	"AP5Z1"
"APBA1"	"Q02410-2;Q02410"	"Amyloid beta A4 precursor protein-binding family A member 1"	"APBA1"	"APBA1"
"APBB1"	"O00213-4;O00213-6;O00213-3;O00213-5;O00213-2;O00213"	"Amyloid beta A4 precursor protein-binding family B member 1"	"APBB1"	"APBB1"
"APEH"	"P13798"	"Acylamino-acid-releasing enzyme"	"APEH"	"APEH"
"APEX1"	"P27695"	"DNA-(apurinic or apyrimidinic site) lyase;DNA-(apurinic or apyrimidinic site) lyase, mitochondrial"	"APEX1"	"APEX1"
"API5"	"Q9BZZ5-2;Q9BZZ5;Q9BZZ5-3;Q9BZZ5-5;Q9BZZ5-1"	"Apoptosis inhibitor 5"	"API5"	"API5"
"APIP"	"Q96GX9"	"Methylthioribulose-1-phosphate dehydratase"	"APIP"	"APIP"
"APMAP"	"Q9HDC9;Q9HDC9-2"	"Adipocyte plasma membrane-associated protein"	"APMAP"	"APMAP"
"APOA1"	"P02647"	"Apolipoprotein A-I;Proapolipoprotein A-I;Truncated apolipoprotein A-I"	"APOA1"	"APOA1"
"APOA1BP"	"Q8NCW5;Q8NCW5-2"	"NAD(P)H-hydrate epimerase"	"APOA1BP"	"APOA1BP"
"APOB"	"P04114"	"Apolipoprotein B-100;Apolipoprotein B-48"	"APOB"	"APOB"
"APOBEC3C"	"Q9NRW3"	"DNA dC->dU-editing enzyme APOBEC-3C"	"APOBEC3C"	"APOBEC3C"
"APOD"	"P05090"	"Apolipoprotein D"	"APOD"	"APOD"
"APOE"	"P02649"	"Apolipoprotein E"	"APOE"	"APOE"
"APOL2"	"Q9BQE5"	"Apolipoprotein L2"	"APOL2"	"APOL2"
"APOL3"	"O95236-2;O95236"	"Apolipoprotein L3"	"APOL3"	"APOL3"
"APOO"	"Q9BUR5;Q9BUR5-2"	"Apolipoprotein O"	"APOO"	"APOO"
"APOOL"	"Q6UXV4"	"MICOS complex subunit MIC27"	"APOOL"	"APOOL"
"APP"	"P05067-10;P05067-4;P05067-6;P05067-11;P05067-8;P05067;P05067-3;P05067-5;P05067-7;P05067-9;P05067-2"	"Amyloid beta A4 protein;N-APP;Soluble APP-alpha;Soluble APP-beta;C99;Beta-amyloid protein 42;Beta-amyloid protein 40;C83;P3(42);P3(40);C80;Gamma-secretase C-terminal fragment 59;Gamma-secretase C-terminal fragment 57;Gamma-secretase C-terminal fragment 50;C31"	"APP"	"APP"
"APPL1"	"Q9UKG1"	"DCC-interacting protein 13-alpha"	"APPL1"	"APPL1"
"APPL2"	"Q8NEU8;Q8NEU8-3;Q8NEU8-2"	"DCC-interacting protein 13-beta"	"APPL2"	"APPL2"
"APRT"	"P07741;P07741-2"	"Adenine phosphoribosyltransferase"	"APRT"	"APRT"
"APTX"	"Q7Z2E3-4;Q7Z2E3-5;Q7Z2E3-9;Q7Z2E3-10;Q7Z2E3-11;Q7Z2E3-7;Q7Z2E3;Q7Z2E3-13;Q7Z2E3-8;Q7Z2E3-6;Q7Z2E3-2;Q7Z2E3-3"	"Aprataxin"	"APTX"	"APTX"
"AQR"	"O60306"	"Intron-binding protein aquarius"	"AQR"	"AQR"
"ARAF"	"P10398"	"Serine/threonine-protein kinase A-Raf"	"ARAF"	"ARAF"
"ARAP1"	"Q96P48-3;Q96P48;Q96P48-5;Q96P48-7;Q96P48-2;Q96P48-4;Q96P48-1"	"Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 1"	"ARAP1"	"ARAP1"
"ARCN1"	"P48444;P48444-2"	"Coatomer subunit delta"	"ARCN1"	"ARCN1"
"ARF1"	"P84077"	"ADP-ribosylation factor 1"	"ARF1"	"ARF1"
"ARF4"	"P18085"	"ADP-ribosylation factor 4"	"ARF4"	"ARF4"
"ARF5"	"P84085"	"ADP-ribosylation factor 5"	"ARF5"	"ARF5"
"ARF6"	"P62330"	"ADP-ribosylation factor 6"	"ARF6"	"ARF6"
"ARFGAP1"	"Q8N6T3;Q8N6T3-3;Q8N6T3-2;Q8N6T3-5;Q8N6T3-4"	"ADP-ribosylation factor GTPase-activating protein 1"	"ARFGAP1"	"ARFGAP1"
"ARFGAP2"	"Q8N6H7;Q8N6H7-2;Q8N6H7-3"	"ADP-ribosylation factor GTPase-activating protein 2"	"ARFGAP2"	"ARFGAP2"
"ARFGAP3"	"Q9NP61-2;Q9NP61"	"ADP-ribosylation factor GTPase-activating protein 3"	"ARFGAP3"	"ARFGAP3"
"ARFGEF1"	"Q9Y6D6"	"Brefeldin A-inhibited guanine nucleotide-exchange protein 1"	"ARFGEF1"	"ARFGEF1"
"ARFGEF2"	"Q9Y6D5"	"Brefeldin A-inhibited guanine nucleotide-exchange protein 2"	"ARFGEF2"	"ARFGEF2"
"ARFGEF3"	"Q5TH69"	"Brefeldin A-inhibited guanine nucleotide-exchange protein 3"	"ARFGEF3"	"ARFGEF3"
"ARFIP1"	"P53367"	"Arfaptin-1"	"ARFIP1"	"ARFIP1"
"ARFIP2"	"P53365-3;P53365;P53365-2"	"Arfaptin-2"	"ARFIP2"	"ARFIP2"
"ARFRP1"	"Q13795;Q13795-2"	"ADP-ribosylation factor-related protein 1"	"ARFRP1"	"ARFRP1"
"ARHGAP1"	"Q07960"	"Rho GTPase-activating protein 1"	"ARHGAP1"	"ARHGAP1"
"ARHGAP12"	"Q8IWW6-3;Q8IWW6-4;Q8IWW6;Q8IWW6-2"	"Rho GTPase-activating protein 12"	"ARHGAP12"	"ARHGAP12"
"ARHGAP17"	"Q68EM7-5;Q68EM7-6;Q68EM7;Q68EM7-2;Q68EM7-3;Q68EM7-4;Q68EM7-7"	"Rho GTPase-activating protein 17"	"ARHGAP17"	"ARHGAP17"
"ARHGAP18"	"Q8N392;Q8N392-2"	"Rho GTPase-activating protein 18"	"ARHGAP18"	"ARHGAP18"
"ARHGAP25"	"P42331-5;P42331-3;P42331-6;P42331;P42331-4;P42331-2"	"Rho GTPase-activating protein 25"	"ARHGAP25"	"ARHGAP25"
"ARHGAP26"	"Q9UNA1-2;Q9UNA1"	"Rho GTPase-activating protein 26"	"ARHGAP26"	"ARHGAP26"
"ARHGAP27"	"Q6ZUM4-3;Q6ZUM4;Q6ZUM4-4;Q6ZUM4-2"	"Rho GTPase-activating protein 27"	"ARHGAP27"	"ARHGAP27"
"ARHGAP29"	"Q52LW3;Q52LW3-2"	"Rho GTPase-activating protein 29"	"ARHGAP29"	"ARHGAP29"
"ARHGAP32"	"A7KAX9-2;A7KAX9"	"Rho GTPase-activating protein 32"	"ARHGAP32"	"ARHGAP32"
"ARHGAP35"	"Q9NRY4"	"Rho GTPase-activating protein 35"	"ARHGAP35"	"ARHGAP35"
"ARHGAP5"	"Q13017-2;Q13017;Q13017-4"	"Rho GTPase-activating protein 5"	"ARHGAP5"	"ARHGAP5"
"ARHGAP8"	"P85298-4;P85298-3;P85298;P85298-2;P85298-5"	"Rho GTPase-activating protein 8"	"ARHGAP8"	"ARHGAP8"
"ARHGDIA"	"P52565;P52565-2"	"Rho GDP-dissociation inhibitor 1"	"ARHGDIA"	"ARHGDIA"
"ARHGDIB"	"P52566"	"Rho GDP-dissociation inhibitor 2"	"ARHGDIB"	"ARHGDIB"
"ARHGEF1"	"Q92888;Q92888-3;Q92888-2;Q92888-4"	"Rho guanine nucleotide exchange factor 1"	"ARHGEF1"	"ARHGEF1"
"ARHGEF10L"	"Q9HCE6-3;Q9HCE6-2;Q9HCE6;Q9HCE6-5;Q9HCE6-4"	"Rho guanine nucleotide exchange factor 10-like protein"	"ARHGEF10L"	"ARHGEF10L"
"ARHGEF11"	"O15085;O15085-2"	"Rho guanine nucleotide exchange factor 11"	"ARHGEF11"	"ARHGEF11"
"ARHGEF12"	"Q9NZN5-2;Q9NZN5"	"Rho guanine nucleotide exchange factor 12"	"ARHGEF12"	"ARHGEF12"
"ARHGEF16"	"Q5VV41;Q5VV41-2"	"Rho guanine nucleotide exchange factor 16"	"ARHGEF16"	"ARHGEF16"
"ARHGEF17"	"Q96PE2"	"Rho guanine nucleotide exchange factor 17"	"ARHGEF17"	"ARHGEF17"
"ARHGEF18"	"Q6ZSZ5-2;Q6ZSZ5"	"Rho guanine nucleotide exchange factor 18"	"ARHGEF18"	"ARHGEF18"
"ARHGEF2"	"Q92974-3;Q92974-2;Q92974"	"Rho guanine nucleotide exchange factor 2"	"ARHGEF2"	"ARHGEF2"
"ARHGEF37"	"A1IGU5"	"Rho guanine nucleotide exchange factor 37"	"ARHGEF37"	"ARHGEF37"
"ARHGEF40"	"Q8TER5-4;Q8TER5-3;Q8TER5;Q8TER5-2"	"Rho guanine nucleotide exchange factor 40"	"ARHGEF40"	"ARHGEF40"
"ARHGEF5"	"Q12774;Q12774-2"	"Rho guanine nucleotide exchange factor 5"	"ARHGEF5"	"ARHGEF5"
"ARHGEF6"	"Q15052;Q15052-2"	"Rho guanine nucleotide exchange factor 6"	"ARHGEF6"	"ARHGEF6"
"ARHGEF7"	"Q14155-1;Q14155-5;Q14155-6;Q14155-2;Q14155-3;Q14155"	"Rho guanine nucleotide exchange factor 7"	"ARHGEF7"	"ARHGEF7"
"ARID1A"	"O14497;O14497-2;O14497-3"	"AT-rich interactive domain-containing protein 1A"	"ARID1A"	"ARID1A"
"ARID1B"	"Q8NFD5;Q8NFD5-2;Q8NFD5-3;Q8NFD5-4"	"AT-rich interactive domain-containing protein 1B"	"ARID1B"	"ARID1B"
"ARID2"	"Q68CP9;Q68CP9-3"	"AT-rich interactive domain-containing protein 2"	"ARID2"	"ARID2"
"ARID4B"	"Q4LE39-3;Q4LE39-2;Q4LE39;Q4LE39-4"	"AT-rich interactive domain-containing protein 4B"	"ARID4B"	"ARID4B"
"ARID5B"	"Q14865;Q14865-2;Q14865-3"	"AT-rich interactive domain-containing protein 5B"	"ARID5B"	"ARID5B"
"ARIH1"	"Q9Y4X5"	"E3 ubiquitin-protein ligase ARIH1"	"ARIH1"	"ARIH1"
"ARL1"	"P40616-2;P40616"	"ADP-ribosylation factor-like protein 1"	"ARL1"	"ARL1"
"ARL2"	"P36404;P36404-2"	"ADP-ribosylation factor-like protein 2"	"ARL2"	"ARL2"
"ARL3"	"P36405"	"ADP-ribosylation factor-like protein 3"	"ARL3"	"ARL3"
"ARL6IP1"	"Q15041;Q15041-3;Q15041-2"	"ADP-ribosylation factor-like protein 6-interacting protein 1"	"ARL6IP1"	"ARL6IP1"
"ARL6IP4"	"Q66PJ3;Q66PJ3-7;Q66PJ3-4;Q66PJ3-3;Q66PJ3-2;Q66PJ3-5"	"ADP-ribosylation factor-like protein 6-interacting protein 4"	"ARL6IP4"	"ARL6IP4"
"ARL6IP5"	"O75915"	"PRA1 family protein 3"	"ARL6IP5"	"ARL6IP5"
"ARL6IP6"	"Q8N6S5"	"ADP-ribosylation factor-like protein 6-interacting protein 6"	"ARL6IP6"	"ARL6IP6"
"ARL8A"	"Q96BM9"	"ADP-ribosylation factor-like protein 8A"	"ARL8A"	"ARL8A"
"ARL8B"	"Q9NVJ2;Q9NVJ2-2"	"ADP-ribosylation factor-like protein 8B"	"ARL8B"	"ARL8B"
"ARMC1"	"Q9NVT9;Q9NVT9-2"	"Armadillo repeat-containing protein 1"	"ARMC1"	"ARMC1"
"ARMC10"	"Q8N2F6-4;Q8N2F6-2;Q8N2F6-3;Q8N2F6;Q8N2F6-6;Q8N2F6-5"	"Armadillo repeat-containing protein 10"	"ARMC10"	"ARMC10"
"ARMC6"	"Q6NXE6-2;Q6NXE6"	"Armadillo repeat-containing protein 6"	"ARMC6"	"ARMC6"
"ARMC8"	"Q8IUR7-7;Q8IUR7;Q8IUR7-3;Q8IUR7-2;Q8IUR7-8;Q8IUR7-6"	"Armadillo repeat-containing protein 8"	"ARMC8"	"ARMC8"
"ARMC9"	"Q7Z3E5-2;Q7Z3E5"	"LisH domain-containing protein ARMC9"	"ARMC9"	"ARMC9"
"ARMCX1"	"Q9P291"	"Armadillo repeat-containing X-linked protein 1"	"ARMCX1"	"ARMCX1"
"ARMCX2"	"Q7L311"	"Armadillo repeat-containing X-linked protein 2"	"ARMCX2"	"ARMCX2"
"ARMCX3"	"Q9UH62"	"Armadillo repeat-containing X-linked protein 3"	"ARMCX3"	"ARMCX3"
"ARMT1"	"Q9H993"	"Protein-glutamate O-methyltransferase"	"ARMT1"	"ARMT1"
"ARNT"	"P27540-2;P27540-3;P27540-4;P27540"	"Aryl hydrocarbon receptor nuclear translocator"	"ARNT"	"ARNT"
"ARPC1A"	"Q92747;Q92747-2"	"Actin-related protein 2/3 complex subunit 1A"	"ARPC1A"	"ARPC1A"
"ARPC1B"	"O15143"	"Actin-related protein 2/3 complex subunit 1B"	"ARPC1B"	"ARPC1B"
"ARPC2"	"O15144"	"Actin-related protein 2/3 complex subunit 2"	"ARPC2"	"ARPC2"
"ARPC3"	"O15145"	"Actin-related protein 2/3 complex subunit 3"	"ARPC3"	"ARPC3"
"ARPC4"	"P59998;P59998-3;P59998-4;P59998-2"	"Actin-related protein 2/3 complex subunit 4"	"ARPC4"	"ARPC4"
"ARPC5"	"O15511;O15511-2"	"Actin-related protein 2/3 complex subunit 5"	"ARPC5"	"ARPC5"
"ARPC5L"	"Q9BPX5"	"Actin-related protein 2/3 complex subunit 5-like protein"	"ARPC5L"	"ARPC5L"
"ARPIN"	"Q7Z6K5-2;Q7Z6K5"	"Arpin"	"ARPIN"	"ARPIN"
"ARPP19"	"P56211;P56211-2"	"cAMP-regulated phosphoprotein 19"	"ARPP19"	"ARPP19"
"ARRB1"	"P49407-2"	"Beta-arrestin-1"	"ARRB1"	"ARRB1"
"ARRDC3"	"Q96B67"	"Arrestin domain-containing protein 3"	"ARRDC3"	"ARRDC3"
"ARSA"	"P15289;P15289-2"	"Arylsulfatase A;Arylsulfatase A component B;Arylsulfatase A component C"	"ARSA"	"ARSA"
"ARSD"	"P51689;P51689-3;P51689-2;Q5FYA8;P51690"	"Arylsulfatase D"	"ARSD"	"ARSD"
"ARVCF"	"O00192-2;O00192"	"Armadillo repeat protein deleted in velo-cardio-facial syndrome"	"ARVCF"	"ARVCF"
"AS3MT"	"Q9HBK9-2;Q9HBK9"	"Arsenite methyltransferase"	"AS3MT"	"AS3MT"
"ASAH1"	"Q13510;Q13510-2;Q13510-3"	"Acid ceramidase;Acid ceramidase subunit alpha;Acid ceramidase subunit beta"	"ASAH1"	"ASAH1"
"ASAP3"	"Q8TDY4-3;Q8TDY4;Q8TDY4-2"	"Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 3"	"ASAP3"	"ASAP3"
"ASCC2"	"Q9H1I8;Q9H1I8-3;Q9H1I8-2"	"Activating signal cointegrator 1 complex subunit 2"	"ASCC2"	"ASCC2"
"ASCC3"	"Q8N3C0;Q8N3C0-4;Q8N3C0-3"	"Activating signal cointegrator 1 complex subunit 3"	"ASCC3"	"ASCC3"
"ASH2L"	"Q9UBL3-3;Q9UBL3;Q9UBL3-2"	"Set1/Ash2 histone methyltransferase complex subunit ASH2"	"ASH2L"	"ASH2L"
"ASL"	"P04424-2;P04424;P04424-3"	"Argininosuccinate lyase"	"ASL"	"ASL"
"ASMTL"	"O95671-2;O95671;O95671-3"	"N-acetylserotonin O-methyltransferase-like protein"	"ASMTL"	"ASMTL"
"ASNA1"	"O43681"	"ATPase ASNA1"	"ASNA1"	"ASNA1"
"ASNS"	"P08243-2;P08243;P08243-3"	"Asparagine synthetase [glutamine-hydrolyzing]"	"ASNS"	"ASNS"
"ASPA"	"P45381"	"Aspartoacylase"	"ASPA"	"ASPA"
"ASPH"	"Q12797-10;Q12797;Q12797-9;Q12797-6;Q12797-5;Q12797-8;Q12797-2;Q12797-7;Q12797-4;Q12797-3"	"Aspartyl/asparaginyl beta-hydroxylase"	"ASPH"	"ASPH"
"ASPSCR1"	"Q9BZE9;Q9BZE9-2;Q9BZE9-3;Q9BZE9-4"	"Tether containing UBX domain for GLUT4"	"ASPSCR1"	"ASPSCR1"
"ASRGL1"	"Q7L266;Q7L266-2"	"Isoaspartyl peptidase/L-asparaginase;Isoaspartyl peptidase/L-asparaginase alpha chain;Isoaspartyl peptidase/L-asparaginase beta chain"	"ASRGL1"	"ASRGL1"
"ASS1"	"P00966"	"Argininosuccinate synthase"	"ASS1"	"ASS1"
"ASUN"	"Q9NVM9-2;Q9NVM9"	"Protein asunder homolog"	"ASUN"	"ASUN"
"ATAD1"	"Q8NBU5;Q8NBU5-2"	"ATPase family AAA domain-containing protein 1"	"ATAD1"	"ATAD1"
"ATAD3A"	"Q9NVI7-2;Q9NVI7;Q5T9A4;Q5T2N8;Q5T9A4-3;Q5T9A4-2"	"ATPase family AAA domain-containing protein 3A"	"ATAD3A"	"ATAD3A"
"ATE1"	"O95260-2;O95260"	"Arginyl-tRNA--protein transferase 1"	"ATE1"	"ATE1"
"ATF2"	"P15336-7;P15336-5;P15336-3;P15336-4;P15336"	"Cyclic AMP-dependent transcription factor ATF-2"	"ATF2"	"ATF2"
"ATF7IP"	"Q6VMQ6-2;Q6VMQ6-5;Q6VMQ6;Q6VMQ6-4"	"Activating transcription factor 7-interacting protein 1"	"ATF7IP"	"ATF7IP"
"ATG16L1"	"Q676U5-2;Q676U5;Q676U5-3;Q676U5-5;Q676U5-4"	"Autophagy-related protein 16-1"	"ATG16L1"	"ATG16L1"
